id,user_id,iban,updated_at,created_at,balance,currency,blocked,status,account_type
-1,4297bd84-badb-426b-8bed-561123039b66,PL60109010140000071219812871,2024-06-17 17:13:18,2023-10-09 21:00:00,999783937.36,PLN,false,ACTIVE,BANK
-2,4297bd84-badb-426b-8bed-561123039b66,PL59109010140000071219812872,2024-06-19 11:15:45,2023-10-09 21:00:00,1000000000.81,PLN,false,ACTIVE,BANK
-3,4297bd84-badb-426b-8bed-561123039b66,PL58109010140000071219812873,2023-10-09 21:00:00,2023-10-09 21:00:00,1000000000,PLN,false,ACTIVE,BANK
-4,4297bd84-badb-426b-8bed-561123039b66,PL57109010140000071219812874,2023-10-09 21:00:00,2023-10-09 21:00:00,1000000000,PLN,false,ACTIVE,BANK
-5,4297bd84-badb-426b-8bed-561123039b66,PL56109010140000071219812875,2023-10-09 21:00:00,2023-10-09 21:00:00,1000000000,PLN,false,ACTIVE,BANK
-6,4297bd84-badb-426b-8bed-561123039b66,PL55109010140000071219812876,2023-10-09 21:00:00,2023-10-09 21:00:00,1000000000,PLN,false,ACTIVE,BANK
-7,bank,PL54109010140000071219812877,2023-10-09 21:00:00,2023-10-09 21:00:00,0,PLN,false,ACTIVE,BANK
-8,bank,PL53109010140000071219812878,2023-10-09 21:00:00,2023-10-09 21:00:00,0,PLN,false,ACTIVE,BANK
-9,bank,PL52109010140000071219812879,2023-11-13 21:00:00,2023-11-13 21:00:00,0,PLN,false,ACTIVE,BANK
-10,bank,PL51109010140000071219812880,2023-11-13 21:00:00,2023-11-13 21:00:00,0,PLN,false,ACTIVE,BANK
-11,bank,PL56101000712223140244000000,2023-11-15 21:00:00,2023-11-13 21:00:00,0,PLN,false,ACTIVE,BANK
-12,bank,PL63101000712223220232000000,2023-11-15 21:00:00,2023-11-13 21:00:00,0,PLN,false,ACTIVE,BANK
-13,bank,PL47101000550201609009990000,2023-11-15 21:00:00,2023-11-13 21:00:00,0,PLN,false,ACTIVE,BANK
-14,bank,PL48101000712223120235000000,2024-01-08 21:00:00,2023-12-31 21:00:00,0,PLN,false,ACTIVE,BANK
-15,bank,PL88101000712223060230000000,2024-01-08 21:00:00,2023-12-31 21:00:00,0,PLN,false,ACTIVE,BANK
-16,alior_bank,PL25019365700000000000000016,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-17,alior_bank,PL33057546700000000000000017,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-18,alior_bank,PL57057522700000000000000018,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-19,bank_millennium,PL23618780350000000000000019,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-20,bank_millennium,PL41624925350000000000000020,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-21,bank_millennium,PL49616855350000000000000021,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-22,bank_millennium,PL79614301350000000000000022,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-23,bank_millennium,PL85630421350000000000000023,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-24,bank_pekao,PL19747839790000000000000024,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-25,bank_pekao,PL31726452790000000000000025,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-26,bank_pekao,PL66721305790000000000000026,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-27,bank_pekao,PL67720626790000000000000027,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-28,bank_pekao,PL90720625790000000000000028,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-29,bnp_paribas,PL16129465860000000000000029,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-30,bnp_paribas,PL23129468860000000000000030,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-31,bnp_paribas,PL23146003860000000000000031,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-32,bnp_paribas,PL26168915860000000000000032,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
